instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
c0538,4,719.4747670000028,719.4747670000028,99.77526172963653,0.3359999656677246,50,87493,4753,293.8660001754761
c0532,5,659.3359810000063,659.3359810000063,99.90596513186574,0.14100003242492676,11,74770,3446,286.8910000324249
cc0588,3,767.5259779998875,767.5259779998875,97.32346616493332,4.122999906539917,309,35980,3517,305.3359999656677
cc0536,2,499.0515189999826,499.0515189999826,93.50463790987212,10.223999977111816,2214,77663,9644,311.45099997520447
sn1y,1,466.7729209999838,466.7729209999838,98.16513197111826,2.255999803543091,86,92178,12843,245.22299981117249
sn4x,2,852.462634,855.8571349995622,8.710633594539286e-5,329.1970000267029,3642,3642,17444,329.1970000267029
rc101,4,1059.32238,1059.7033799991311,9.591193603212762e-5,265.3660001754761,5682,5682,15109,265.3670001029968
R1_2_1,2,3360.3807699999998,3406.4681600016174,0.0,327.67500019073486,366,366,18960,327.67500019073486
cc0582,1,712.8883299999824,712.8883299999824,99.62645254121537,0.875,21,51240,3704,481.75
cc0530,4,616.5203610000019,616.5203610000019,99.75780819804064,0.38299989700317383,82,79747,7170,312.9059998989105
c0585,1,1027.0835629997237,1027.0835629997237,81.43783111801727,24.02900004386902,2141,19754,3748,246.19599986076355
RC2_2_1,2,1559.99745,1567.2562799997763,4.126434683151131e-5,433.8589999675751,1731,1731,11052,433.8600001335144
c0538,5,719.4747670000045,719.4747670000045,99.87329823604622,0.18800020217895508,28,88260,4985,293.90000009536743
c0533,1,680.0413870001055,680.0413870001055,92.84135773287672,11.336999893188477,3924,88244,5062,311.4649999141693
cc0588,4,767.5259779999795,767.5259779999795,99.41099784862311,0.9149999618530273,97,34998,3572,305.3529999256134
sn1y,2,466.77292099999886,466.77292099999886,98.50382056230666,1.8420000076293945,445,73152,10464,245.22199988365173
cc0536,3,499.0515189999673,499.0515189999673,95.41854112459121,7.178999900817871,962,77701,9514,311.87199997901917
rc101,5,1059.3223799992707,1059.3223799992707,3.313138867345479,207.1560001373291,1620,2252,13202,256.1470000743866
sn4x,3,852.462634,855.8223789995508,9.931773004099304e-5,323.2590000629425,2262,2262,16320,323.2590000629425
R1_2_1,3,3369.9756399999997,3383.871330001595,7.595157590969311e-5,321.79299998283386,611,611,18433,321.79299998283386
c0585,2,1027.0835629999247,1027.0835629999247,94.93857615457443,6.315999984741211,730,28055,3843,279.2610001564026
cc0530,5,616.5203610000003,616.5203610000003,99.72131256649286,0.43899989128112793,40,81292,6931,312.9379999637604
sn1y,3,466.7729209999857,466.7729209999857,97.95799310585548,2.5169999599456787,52,73709,10878,245.73399996757507
cc0582,2,712.888329999895,712.888329999895,97.0157395364708,6.914000034332275,192,56823,3971,459.03200006484985
c0539,1,680.9967300000022,680.9967300000022,99.96446027406434,0.06200003623962402,2,96471,4420,338.4130001068115
cc0588,5,767.5259779997652,767.5259779997652,94.31347800921547,8.815999984741211,1,36191,3487,305.66299986839294
c0533,2,680.0413870001248,680.0413870001248,92.53972120207892,11.82800006866455,3914,92842,4983,311.31300020217896
cc0536,4,499.051518999952,499.051518999952,94.68888576764617,8.33299994468689,333,78149,9422,311.5050001144409
rc201,1,672.9217299993227,672.9217299993227,49.37764625897402,92.66100001335144,8607,26075,14915,312.6559998989105
