Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
RiskVRP,S,S53,123.1,ILS-SP,123.1,123.1,2.1,123.1106,123.1106,21.1358,52,0.0514
RiskVRP,S,S55,132.9,ILS-SP,132.9,132.9,2.4,132.928,132.928,24.1292,54,10.2794
RiskVRP,S,S64,150.6,ILS-SP,150.6,150.6,3.7,150.5969,150.5969,37.2832,63,0.1948
RiskVRP,S,S69,166.1,ILS-SP,166.1,166.1,3.9,166.1177,166.1177,39.2824,68,0.35
RiskVRP,S,S73,161.1,ILS-SP,161.1,161.1,6.5,161.0998,161.0998,68.5132,72,68.5126
RiskVRP,S,S79,197.2,ILS-SP,197.2,197.2,5.3,197.1617,197.1617,53.0962,78,1.9918
RiskVRP,S,S81,133.4,ILS-SP,133.4,133.4,6.6,133.4085,133.4085,69.5076,80,69.5072
RiskVRP,S,S85,201.2,ILS-SP,201.2,201.2,6.5,201.1819,201.1819,76.224,84,1.3312
RiskVRP,S,S94,212.5,ILS-SP,212.5,212.5,9.7,212.4814,212.4814,96.7352,93,0.933
RiskVRP,V,101_1.0,2140.2,ILS-SP,2140.2,2140.2,8.8,2140.1966,2140.31,96.9254,100,96.9252
RiskVRP,V,101_1.5,1612.6,ILS-SP,1613.6,1614.2,21.9,1612.5869,1612.7908,233.0956,100,228.7856
RiskVRP,V,101_2.0,1342.3,ILS-SP,1343.4,1345.4,22.4,1342.3177,1343.158,238.0878,100,238.0868
RiskVRP,V,101_2.5,1179.6,ILS-SP,1179.6,1188.5,28.6,1179.6259,1186.2763,326.1132,100,326.1126
RiskVRP,V,101_3.0,1096.0,ILS-SP,1096.0,1097.8,16.1,1095.9652,1096.0742,170.7752,100,170.7748
RiskVRP,V,121_1.0,5743.3,ILS-SP,5757.3,5759.9,40.3,5798.5529,5946.4234,406.0308,120,406.03
RiskVRP,V,121_1.5,3866.0,ILS-SP,3875.5,3881.6,157.9,3868.6914,3873.0773,1634.5434,120,1634.5426
