instance,seed,cost,time,pool
cc0587,2,811.955815,4.174433773,639
cc0587,3,811.955815,4.973882076,681
cc0587,4,814.496173,4.849855214,625
cc0587,5,811.955815,6.346735024,787
cc0587,6,811.955815,6.352387083,838
cc0587,7,811.9558149999999,4.524719115,589
cc0587,8,811.9558149999999,5.317318823,720
cc0587,9,811.9558149999999,4.345778876,564
cc0587,10,811.955815,3.77060865,545
cc0588,1,767.525978,3.995601826,862
cc0588,2,767.5259779999999,3.793566661,850
cc0588,3,767.525978,3.876351861,799
cc0588,4,767.525978,3.86547693,847
cc0588,5,767.5259779999999,3.983275951,787
cc0588,6,767.5259780000001,3.972469176,892
cc0588,7,767.5259779999999,4.137907649,791
cc0588,8,767.5259780000001,4.025162651,831
cc0588,9,767.5259780000001,3.870329381,841
cc0588,10,767.5259779999999,3.916638436,794
cc0589,1,809.004361,4.385190422,908
cc0589,2,809.004361,4.235028078,839
cc0589,3,809.020201,4.327216523,833
cc0589,4,809.004361,4.388678196,886
cc0589,5,809.004361,4.331873789,873
cc0589,6,809.0043609999999,4.430722848,923
cc0589,7,809.004361,4.560130433,862
cc0589,8,809.004361,4.520074678,895
cc0589,9,809.004361,4.462268941,926
cc0589,10,809.004361,4.374609185,948
C1_2_1,1,3660.2060999999994,132.039599302,8037
C1_2_1,2,3654.5147899999993,100.693010539,7083
C1_2_1,3,3659.9404199999994,120.441849471,8027
C1_2_1,4,3659.3782899999997,144.228492947,8908
C1_2_1,5,3668.24038,130.390077633,8523
C1_2_1,6,3658.6868799999997,159.114844721,8421
C1_2_1,7,3662.8346899999997,124.082333957,7328
C1_2_1,8,3653.89761,106.766664183,6628
C1_2_1,9,3654.9979399999997,91.240257556,5025
C1_2_1,10,3661.5021499999993,110.296285529,7366
C1_4_1,1,11299.587709998239,363.389044595,12998
C1_4_1,2,11287.554739999183,563.692002743,21166
C1_4_1,3,11231.963469997645,389.516278987,15058
C1_4_1,4,11264.603689997793,602.640317636,19446
C1_4_1,5,11289.534169999391,811.669958256,26393
